recall_number,recall_date,make,model,year_range,affected_units,reason,link
REC-006485,20-Nov-25,Honda,Accord,2024 - 2025,180,"Due to a software issue, the integrated control module software may cause system errors. This can result in a sudden loss of motive power. Due to a software issue, the integrated control module software may cause system errors. This can result in a sudden loss of motive power. What are the hazards? A sudden loss of power while driving may increase the risk of an accident causing serious injury or death to vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-006485
REC-006489,26-Nov-25,HYUNDAI,Ioniq 6 (CE),2022 - 2024,"1,191","The affected vehicles charging port door panel may misaligned due to poor adhesive application that cause the retaining hook to unlatch, resulting in the port door panel detaching from the hinge assembly whilst driving. The affected vehicles charging port door panel may misaligned due to poor adhesive application that cause the retaining hook to unlatch, resulting in the port door panel detaching from the hinge assembly whilst driving. What are the hazards? If the charging port door panel detaches from vehicle whilst driving, this could increase the risk of an accident-causing injury or death to road users, bystanders, and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-006489
REC-006491,27-Nov-25,GENESIS,GV60 (JW),2022 - 2024,381,"Due to a manufacturing defect, the windscreen may have insufficient adhesion and could detach from the vehicle whilst driving. Due to a manufacturing defect, the windscreen may have insufficient adhesion and could detach from the vehicle whilst driving. What are the hazards? If the windscreen detaches from the vehicle whilst driving, it could increase the risk of an accident causing injury or death to other road users, bystanders and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-006491
REC-006492,3-Dec-25,BENTLEY,Bentayga Hybrid,2023,16,"Due to a hardware defect, the high voltage battery may discharge whilst charging the vehicle. If this occurs, it could overheat leading to a vehicle fire. Due to a hardware defect, the high voltage battery may discharge whilst charging the vehicle. If this occurs, it could overheat leading to a vehicle fire. What are the hazards? A vehicle fire could increase the risk of injury or death to vehicle occupants, other road users, bystanders and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-006492
REC-006497,10-Dec-25,Ford,"Ranger, Everest and F150",2019 - 2025,"2,696","Due to a manufacturing defect, moisture may enter the ARB Solis lights wiring harness causing corrosion. If this occurs, it could generate excessive heat leading to a vehicle fire while parked or driving. Note: Affected vehicles should be parked in an open space and away from flammable materials and structures, until the defect has been rectified by Ford dealership. Due to a manufacturing defect, moisture may enter the ARB Solis lights wiring harness causing corrosion. If this occurs, it could generate excessive heat leading to a vehicle fire while parked or driving. Note: Affected vehicles should be parked in an open space and away from flammable materials and structures, until the defect has been rectified by Ford dealership.",https://www.vehiclerecalls.gov.au/recalls/rec-006497
REC-006498,10-Dec-25,Ford,Transit,2024 - 2025,"1,487","Due to a manufacturing defect, the main body wiring harness may chafe against the transmission housing and become damaged. If this occurs, it could lead to a short circuit resulting in a vehicle fire. Due to a manufacturing defect, the main body wiring harness may chafe against the transmission housing and become damaged. If this occurs, it could lead to a short circuit resulting in a vehicle fire. What are the hazards? A vehicle fire may increase the risk of serious injury or death to the rider, other road users, bystanders and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-006498
REC-006506,19-Dec-25,RAM TRUCKS,1500 DT,2025,"1,020","Due to a software issue, the Instrument Panel Cluster (IPC) may fail to illuminate the visual warnings for the brake system lights, gear selection indicators, and other critical safety information. Due to a software issue, the Instrument Panel Cluster (IPC) may fail to illuminate the visual warnings for the brake system lights, gear selection indicators, and other critical safety information. What are the hazards? A loss of safety system warnings whilst driving, could increase the risk of an accident without prior warning, causing injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-006506
REC-006507,19-Dec-25,RAM TRUCKS,1500 (DT) 2500 (DJ) & 3500 (D2),2025,218,"Due to a software issue, the Instrument Panel Cluster (IPC) may fail to illuminate the visual warnings for the brake system lights, gear selection indicators, and other critical safety information. Due to a software issue, the Instrument Panel Cluster (IPC) may fail to illuminate the visual warnings for the brake system lights, gear selection indicators, and other critical safety information. What are the hazards? A loss of safety system warnings whilst driving, could increase the risk of an accident without prior warning, causing injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-006507
REC-006508,19-Dec-25,RAM TRUCKS,1500 (DS),2019,12,"Due to a manufacturing defect, the right-side curtain airbag inflators may unexpectedly rupture. Due to a manufacturing defect, the right-side curtain airbag inflators may unexpectedly rupture. What are the hazards? If airbag inflator ruptures, compressed gas and metal fragments may be propelled through the airbag cushion towards the vehicle occupants causing serious injury or death.",https://www.vehiclerecalls.gov.au/recalls/rec-006508
REC-006509,19-Dec-25,RAM TRUCKS,1500 (DS),2019,6,"Due to a manufacturing defect, the left-side curtain airbag inflators may unexpectedly rupture. Due to a manufacturing defect, the left-side curtain airbag inflators may unexpectedly rupture. What are the hazards? If airbag inflator ruptures, compressed gas and metal fragments may be propelled through the airbag cushion towards the vehicle occupants causing serious injury or death.",https://www.vehiclerecalls.gov.au/recalls/rec-006509
